"Table 2: Population Distribution by Sex, Number of Households, Area , Density  and Administrative Units",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 8,Unnamed: 9,Unnamed: 11
,Male,Female,Total,Households,Area in Sq. Km.,Density,,,
            IJARA,6196,5278,11474,1669,1430.14,8.02,,,
                SANGOLE,1165,910,2075,317,538.41,3.85,,,
                    SANGOLE,714,558,1272,196,270.64,4.7,,,
                    BULAWACHA,451,352,803,121,267.77,3,,,
                IJARA,1750,1498,3248,525,96.28,33.73,,,
                    IJARA,1750,1498,3248,525,96.28,33.73,,,
                BULAGOLOL,762,600,1362,188,94.34,14.44,,,
                    BULAGOLOL,762,600,1362,188,94.34,14.44,,,
                RUQA,1744,1598,3342,452,585.49,5.71,,,
                    WARSAME,986,952,1938,258,375.9,5.16,,,
                    RUQA,758,646,1404,194,209.59,6.7,,,
                GERILLE,775,672,1447,187,115.61,12.52,,,
                    GERILLE,775,672,1447,187,115.61,12.52,,,
        WAJIR SOUTH*,71436,58634,130070,18504,21595.73,6.02,,,
            DIFF,16139,12571,28710,3940,6671.24,4.3,,,
                IBRAHIM - URE,2287,1739,4026,676,1369.94,2.94,,,
                    IBRAHIM - URE,2287,1739,4026,676,1369.94,2.94,,,
                GERILLE,2301,1771,4072,551,1224.35,3.33,,,
                    GERILLE,1221,907,2128,269,629.07,3.38,,,
                    HANDAKI,1080,864,1944,282,595.28,3.27,,,
                DIFF,7837,5727,13564,1718,1988.39,6.82,,,
                    HAMBALASH,0,0,0,0,713.17,0,,,
                    DIFF,5355,4065,9420,1162,405.73,23.22,,,
                    SALALMA,2482,1662,4144,556,869.5,4.77,,,
                BURDER,3714,3334,7048,995,2088.55,3.37,,,
                    GULLETDEER,1240,1101,2341,318,524.37,4.46,,,
                    BURDER,2474,2233,4707,677,1564.19,3.01,,,
            SEBULE,22308,18618,40926,5796,8279.3,4.94,,,
                MACHEZA,2268,1853,4121,565,404.93,10.18,,,
                    MACHEZA,2268,1853,4121,565,404.93,10.18,,,
                KURSIN,2487,2016,4503,702,1276.23,3.53,,,
                    KURSIN,1981,1589,3570,551,690.42,5.17,,,
                    ARABLOW,506,427,933,151,585.81,1.59,,,
                DADAJABULA,4823,3870,8693,1111,1064.21,8.17,,,
                    DADAJABULA,4823,3870,8693,1111,1064.21,8.17,,,
                SARIF,3068,2765,5833,881,999.02,5.84,,,
                    SARIF,3068,2765,5833,881,999.02,5.84,,,
                BANANE,2744,2450,5194,860,1459.12,3.56,,,
                    BANANE,1863,1631,3494,581,795.74,4.39,,,
                    SALA,881,819,1700,279,663.37,2.56,,,
                SHIMBIR,1319,1028,2347,276,1444.96,1.62,,,
                    SHIMBIR,1319,1028,2347,276,1444.96,1.62,,,
                DAGAHLEY,3041,2528,5569,758,801.09,6.95,,,
                    DAGAHLEY,3041,2528,5569,758,801.09,6.95,,,
                SEBULE,2558,2108,4666,643,829.74,5.62,,,
                    SEBULE,2120,1729,3849,534,475.79,8.09,,,
                    FINNI,438,379,817,109,353.95,2.31,,,
            HABASWEN,19412,16562,35974,5460,4351.54,8.27,,,
                LAGBOGOL SOUTH,2156,1625,3781,450,230.05,16.44,,,
                    LAGBOGOL SOUTH,2156,1625,3781,450,230.05,16.44,,,
                TESORIE,2260,1965,4225,787,1511.91,2.79,,,
                    TESORIE,2260,1965,4225,787,1511.91,2.79,,,
                ABAKORE,6120,5409,11529,1507,920.8,12.52,,,
                    MEER,2277,2123,4400,577,563.75,7.8,,,
                    ABAKORE,3843,3286,7129,930,357.05,19.97,,,
                DILMANYALEY,2136,1933,4069,627,1121.35,3.63,,,
                    DULBUG,389,324,713,105,356.97,2,,,
                    DILMANYALEY,1747,1609,3356,522,764.38,4.39,,,
                HABASWEIN,1518,1180,2698,475,0.56,4810.98,,,
                    HABASWEIN C.,1518,1180,2698,475,0.56,4810.98,,,
                KIWANJA NDEGE,3108,2531,5639,989,506.34,11.14,,,
                    KIWANJA NDEGE,2160,1815,3975,714,112.02,35.48,,,
                    KANJARA,948,716,1664,275,394.32,4.22,,,
                KIBILAY,2114,1919,4033,625,60.52,66.64,,,
                    KIBILAY,2114,1919,4033,625,60.52,66.64,,,
            KULAALEY,13577,10883,24460,3308,2293.66,10.66,,,
                KULAALEY,13577,10883,24460,3308,2293.66,10.66,,,
                    LEHELEY,4236,3473,7709,1129,645.07,11.95,,,
                    EYRIB,1587,1208,2795,381,869.31,3.22,,,
                    EL -ADOW,1803,1543,3346,523,49.84,67.13,,,
                    KULAALEY,5951,4659,10610,1275,729.43,14.55,,,
        WAJIR  NORTH*,73628,61877,135505,17592,8554.59,15.84,,,
            BUTE,22687,17762,40449,5119,791.77,51.09,,,
                BUTE,11106,8617,19723,2461,137.58,143.36,,,
                    BUTE,11106,8617,19723,2461,137.58,143.36,,,
                DUGOW,3706,2937,6643,846,156.71,42.39,,,
                    DUGOW,3706,2937,6643,846,156.71,42.39,,,
                OLGOJI,3929,3085,7014,876,390.02,17.98,,,
                    OLGOJI,1923,1473,3396,399,243.77,13.93,,,
                    ADADIJORE,2006,1612,3618,477,146.25,24.74,,,
                GODOMA,3946,3123,7069,936,107.46,65.78,,,
                    GODOMA,3946,3123,7069,936,107.46,65.78,,,
            BUNA,23860,20327,44187,6126,4964.96,8.9,,,
                BUNA,4875,4227,9102,1432,817.13,11.14,,,
                    BUNA,4875,4227,9102,1432,817.13,11.14,,,
                LAKOLE NORTH,1451,1187,2638,388,838.03,3.15,,,
                    LAKOLE NORTH,1451,1187,2638,388,838.03,3.15,,,
                KORONDILE,6386,5749,12135,1534,457.2,26.54,,,
                    KORONDILE,6386,5749,12135,1534,457.2,26.54,,,
                LEINSAYU,3486,2708,6194,722,743.13,8.34,,,
                    LEINSAYU,3486,2708,6194,722,743.13,8.34,,,
                MALKAGUF,1678,1420,3098,423,443.31,6.99,,,
                    MALKAGUF,1678,1420,3098,423,443.31,6.99,,,
                INGIRIR,1494,1294,2788,393,512.49,5.44,,,
                    INGIRIR,1494,1294,2788,393,512.49,5.44,,,
                BATALU,4490,3742,8232,1234,1153.67,7.14,,,
                    BATALU,3100,2584,5684,862,703.14,8.08,,,
                    KUROW,1390,1158,2548,372,450.53,5.66,,,
            GURAR,27081,23788,50869,6347,2797.86,18.18,,,
                GURAR,6563,6074,12637,1659,543.37,23.26,,,
                    GURAR,6563,6074,12637,1659,543.37,23.26,,,
                AJAWA,4301,3914,8215,1070,776.72,10.58,,,
                    AJAWA,4301,3914,8215,1070,776.72,10.58,,,
                DANABA,7708,6533,14241,1634,348.06,40.92,,,
                    DANABA,7708,6533,14241,1634,348.06,40.92,,,
                QUADAMA,4311,3668,7979,919,641.05,12.45,,,
                    QUADAMA,4311,3668,7979,919,641.05,12.45,,,
                GURAR,4198,3599,7797,1065,488.65,15.96,,,
                    GARSE SARE,1823,1812,3635,471,250.84,14.49,,,
                    SAKE GAMANTHA,2375,1787,4162,594,237.81,17.5,,,
        WAJIR EAST*,122083,102335,224418,31103,13447.02,16.69,,,
            CENTRAL,43684,39116,82800,12689,139.25,594.6,,,
                TOWNSHIP,6573,5273,11846,1857,10.46,1132.14,,,
                    TOWNSHIP,3693,2828,6521,1174,1.57,4149.54,,,
                    ALEMAO,2880,2445,5325,683,8.89,598.86,,,
                JOGBARU,15784,14603,30387,4847,28.76,1056.54,,,
                    MAKOR,4475,3726,8201,1362,13.77,595.6,,,
                    JOGOO,4394,4309,8703,1387,1.46,5976.1,,,
                    GODADE,6915,6568,13483,2098,13.54,996.14,,,
                WAGBERI,12478,10903,23381,3360,39.48,592.17,,,
                    WAGBERI,12478,10903,23381,3360,39.48,592.17,,,
                HOLIDHAN,4510,4290,8800,1394,48.69,180.74,,,
                    HOLIDHAN,4510,4290,8800,1394,48.69,180.74,,,
                BARWAQO,4339,4047,8386,1231,11.86,707.21,,,
                    BARWAQO,4339,4047,8386,1231,11.86,707.21,,,
            WAJIR - BOR,16297,13475,29772,4313,3868.46,7.7,,,
                RIBA,4920,4256,9176,1228,1063.72,8.63,,,
                    RIBA,4920,4256,9176,1228,1063.72,8.63,,,
                KHOROF -HARAR,6104,5332,11436,1621,1825.08,6.27,,,
                    KHOROF -HARAR,2561,2368,4929,670,1153.84,4.27,,,
                    KONTON,1947,1654,3601,578,365.13,9.86,,,
                    DOWYARE,1596,1310,2906,373,306.11,9.49,,,
                WAJIR - BOR,5273,3887,9160,1464,979.66,9.35,,,
                    WAJIR - BOR,5273,3887,9160,1464,979.66,9.35,,,
            TARBAJ,38202,30919,69121,8674,6049.57,11.43,,,
                TARBAJ,8664,7379,16043,2289,1175.07,13.65,,,
                    TARBAJ,8664,7379,16043,2289,1175.07,13.65,,,
                E - BEN,6727,5455,12182,1389,204.56,59.55,,,
                    EL - BEN,6727,5455,12182,1389,204.56,59.55,,,
                MANSA,5662,4515,10177,1112,824.38,12.35,,,
                    MANSA,5662,4515,10177,1112,824.38,12.35,,,
                SARMAN,4155,3135,7290,911,859.93,8.48,,,
                    SARMAN,4155,3135,7290,911,859.93,8.48,,,
                DAMBAS,5488,4545,10033,1295,701.07,14.31,,,
                    DAMBAS,5488,4545,10033,1295,701.07,14.31,,,
                DUNTO,4966,3775,8741,1077,1128.89,7.74,,,
                    DUNTO,4966,3775,8741,1077,1128.89,7.74,,,
                ORGORALLE,2540,2115,4655,601,1155.67,4.03,,,
                    ORGORALLE,1223,1089,2312,315,802.45,2.88,,,
                    BURMAYO,1317,1026,2343,286,353.22,6.63,,,
            KUTULO,23900,18825,42725,5427,3389.74,12.6,,,
                KUTULO,8258,6965,15223,1998,1131.51,13.45,,,
                    KUTULO,5118,3874,8992,1101,588.23,15.29,,,
                    EL - KUTULO,3140,3091,6231,897,543.28,11.47,,,
                LAFALEY,4021,3019,7040,1013,664.25,10.6,,,
                    JOWHAR,1878,1485,3363,460,148.88,22.59,,,
                    LAFALEY,2143,1534,3677,553,515.37,7.13,,,
                DESHEG,3433,2303,5736,644,412.39,13.91,,,
                    DESHEG,3433,2303,5736,644,412.39,13.91,,,
                WARGDUD,8188,6538,14726,1772,1181.6,12.46,,,
                    WARGDUD,2042,1659,3701,500,461.14,8.03,,,
                    HUNGAI,3613,2846,6459,687,125.99,51.27,,,
                    AUSMUDULE/KAJAJA,2533,2033,4566,585,594.47,7.68,,,
        WAJIR WEST*,96619,75329,171948,21375,13088.49,13.14,,,
            ELDAS,27848,20012,47860,5027,2355.73,20.32,,,
                ELDAS,8669,6574,15243,1370,571.04,26.69,,,
                    ELDAS,8669,6574,15243,1370,571.04,26.69,,,
                DELA,7337,5029,12366,1436,413.85,29.88,,,
                    DELA,5081,3369,8450,987,299.16,28.25,,,
                    ABDIWAKO,2256,1660,3916,449,114.68,34.15,,,
                KILKILEY,2250,1829,4079,472,196.29,20.78,,,
                    KILKILEY,2250,1829,4079,472,196.29,20.78,,,
                LAKOLEY SOUTH,4418,3040,7458,829,880.42,8.47,,,
                    LAKOLEY SOUTH,4418,3040,7458,829,880.42,8.47,,,
                ANOLE,5174,3540,8714,920,294.14,29.63,,,
                    ANOLE,5174,3540,8714,920,294.14,29.63,,,
            GRIFTU,43327,35281,78608,10505,6862.06,11.46,,,
                BASIR,2110,1805,3915,511,411.66,9.51,,,
                    BASIR,2110,1805,3915,511,411.66,9.51,,,
                ARBAJAHAN,5160,3953,9113,1087,1240.89,7.34,,,
                    ARBAJAHAN,5160,3953,9113,1087,1240.89,7.34,,,
                GRIFTU,5223,4327,9550,1449,1017.61,9.38,,,
                    JAGAHER,2004,1542,3546,487,718.99,4.93,,,
                    GRIFTU,3219,2785,6004,962,298.62,20.11,,,
                TULATULA,4524,3710,8234,981,177.09,46.5,,,
                    TULATULA,4524,3710,8234,981,177.09,46.5,,,
                ELNUR,3211,2639,5850,767,277.63,21.07,,,
                    ELNUR,2650,2190,4840,647,172.99,27.98,,,
                    DOTHA,561,449,1010,120,104.64,9.65,,,
                WAGALLA,4847,4224,9071,1303,491.17,18.47,,,
                    WAGALLA,4847,4224,9071,1303,491.17,18.47,,,
                GANYURE,4655,3802,8457,1216,929.84,9.1,,,
                    BARMISH,1481,1022,2503,359,597,4.19,,,
                    GANYURE,3174,2780,5954,857,332.85,17.89,,,
                KUKALA,1978,1684,3662,522,152.98,23.94,,,
                    KUKALA,1978,1684,3662,522,152.98,23.94,,,
                BOJIHERI,1439,1284,2723,507,501.69,5.43,,,
                    BOJIHERI,1439,1284,2723,507,501.69,5.43,,,
                GARSEKOFTU,5187,3904,9091,1068,1104.4,8.23,,,
                    GARSEKOFTU,5187,3904,9091,1068,1104.4,8.23,,,
                MATHO,4993,3949,8942,1094,557.1,16.05,,,
                    MATHO,4993,3949,8942,1094,557.1,16.05,,,
            HADADO,10883,8381,19264,2645,2853.41,6.75,,,
                ATHIBOHOL,2029,1563,3592,580,1333.55,2.69,,,
                    ATHIBOHOL,2029,1563,3592,580,1333.55,2.69,,,
                HADADO NORTH,5288,4007,9295,1223,866,10.73,,,
                    HADADO NORTH,5288,4007,9295,1223,866,10.73,,,
                LOLIKUTA NORTH,1084,782,1866,252,280.53,6.65,,,
                    LOLIKUTA NORTH,1084,782,1866,252,280.53,6.65,,,
                LOGBOGOL NORTH,2482,2029,4511,590,373.33,12.08,,,
                    LOGBOGOL NORTH,2482,2029,4511,590,373.33,12.08,,,
            ADEMASAJIDA,14561,11655,26216,3198,1017.29,25.77,,,
                LOLIKUTA SOUTH,2588,2075,4663,657,341.42,13.66,,,
                    LOLIKUTA SOUTH,2588,2075,4663,657,341.42,13.66,,,
                HADADO SOUTH,5774,4595,10369,1177,558.59,18.56,,,
                    HADADO SOUTH,5774,4595,10369,1177,558.59,18.56,,,
                ADEMASAJIDA,6199,4985,11184,1364,117.28,95.36,,,
                    ADEMASAJIDA,6199,4985,11184,1364,117.28,95.36,,,
        MANDERA CENTRAL*,225579,191715,417294,50226,11682.66,35.72,,,
            ASHABITO,35149,26843,61992,7720,4451.51,13.93,,,
                ASHABITO,5858,4606,10464,1272,546.6,19.14,,,
                    ASHABITO,5858,4606,10464,1272,546.6,19.14,,,
                GUTICHA,6753,5666,12419,1518,1527.98,8.13,,,
                    GUTICHA,6753,5666,12419,1518,1527.98,8.13,,,
                KUBIONILE,4014,3189,7203,913,394.23,18.27,,,
                    KAJAJA,4014,3189,7203,913,394.23,18.27,,,
                MAROTHILE,3636,2711,6347,757,249.35,25.45,,,
                    MAROTHILE,3636,2711,6347,757,249.35,25.45,,,
                ORGURUEINI,2663,1657,4320,565,178.66,24.18,,,
                    OGORWEIN,2663,1657,4320,565,178.66,24.18,,,
                OLLA,4210,3001,7211,948,295.75,24.38,,,
                    OLLA,4210,3001,7211,948,295.75,24.38,,,
                SARMAN,3841,2559,6400,774,163.56,39.13,,,
                    SARMAN,3841,2559,6400,774,163.56,39.13,,,
                SHIRSHIR,4174,3454,7628,973,1095.38,6.96,,,
                    SHIRSHIR,4174,3454,7628,973,1095.38,6.96,,,
            ELWAK,54379,48238,102617,12277,814.11,126.05,,,
                BULLA AFFYA,6663,6528,13191,1649,5.55,2378.43,,,
                    BULLA AFFYA,6663,6528,13191,1649,5.55,2378.43,,,
                ELWAK SOUTH,17884,15752,33636,3845,124.04,271.18,,,
                    ELWAK SOUTH,17884,15752,33636,3845,124.04,271.18,,,
                ELWAK TOWN,22325,19309,41634,4864,330.26,126.06,,,
                    EL-ADI,7802,6272,14074,1659,275.98,51,,,
                    ELWAK TOWN,14523,13037,27560,3205,54.28,507.72,,,
                WANTE,7507,6649,14156,1919,354.26,39.96,,,
                    DASHENG WANTE,3029,2788,5817,890,102.83,56.57,,,
                    WANTE,4478,3861,8339,1029,251.43,33.17,,,
            KOTULO,36254,34075,70329,8143,2469.92,28.47,,,
                BOREHOLE 11,7820,8592,16412,1687,373.66,43.92,,,
                    BOREHOLE 11,7820,8592,16412,1687,373.66,43.92,,,
                DABASITI,5392,4811,10203,1249,111.29,91.68,,,
                    DABASITI,5392,4811,10203,1249,111.29,91.68,,,
                EL-RAMU,4380,3913,8293,1067,482.03,17.2,,,
                    EL-RAMU,4380,3913,8293,1067,482.03,17.2,,,
                GARSESALA,5157,4409,9566,1128,281.26,34.01,,,
                    GARSESALA,5157,4409,9566,1128,281.26,34.01,,,
                KUTAYU,7022,5259,12281,1399,632.76,19.41,,,
                    BOJ GARSE,1953,1272,3225,359,244.51,13.19,,,
                    KUTAYU,5069,3987,9056,1040,388.25,23.33,,,
                KOTULO,6483,7091,13574,1613,588.93,23.05,,,
                    KOTULO,5322,5909,11231,1340,459.73,24.43,,,
                    LEHELE,1161,1182,2343,273,129.2,18.13,,,
            RHAMU,24403,18019,42422,4926,147.29,288.01,,,
                GIRISSA,6813,5531,12344,1486,93.76,131.66,,,
                    GIRISSA,3986,3516,7502,896,15.79,474.96,,,
                    JABI BAR,2827,2015,4842,590,77.97,62.1,,,
                RHAMU,8778,6664,15442,1770,48.33,319.5,,,
                    RHAMU,8778,6664,15442,1770,48.33,319.5,,,
                SHANTOLEY,8812,5824,14636,1670,5.2,2812.94,,,
                    SHANTOLEY,8812,5824,14636,1670,5.2,2812.94,,,
            RHAMU DIMTU,19952,16644,36596,4516,935.22,39.13,,,
                GARSEY,4068,3092,7160,909,509.27,14.06,,,
                    GARSEY,4068,3092,7160,909,509.27,14.06,,,
                MADO,5099,3720,8819,1124,65.67,134.3,,,
                    KALICHA,2842,2260,5102,651,30.31,168.3,,,
                    MADO,2257,1460,3717,473,35.35,105.14,,,
                RHAMU DIMTU,7319,6821,14140,1763,147.87,95.62,,,
                    RHAMU DIMTU,7319,6821,14140,1763,147.87,95.62,,,
                YABICHO,3466,3011,6477,720,212.41,30.49,,,
                    YABICHO,3466,3011,6477,720,212.41,30.49,,,
            SHIMBIR FATUMA,23514,20760,44274,5184,1736.83,25.49,,,
                BURMAYO N.,2692,2965,5657,682,299.42,18.89,,,
                    BURMAYO N.,2692,2965,5657,682,299.42,18.89,,,
                BURMAYO S,2432,2697,5129,592,211.07,24.3,,,
                    BURMAYO S,2432,2697,5129,592,211.07,24.3,,,
                FINCHARO,7604,6294,13898,1765,412.07,33.73,,,
                    FINCHARO,3547,2804,6351,780,67.67,93.85,,,
                    QALANQALESA,4057,3490,7547,985,344.4,21.91,,,
                SHIMBIR FATUMA,10786,8804,19590,2145,814.27,24.06,,,
                    SHIMBIR FATUMA,10786,8804,19590,2145,814.27,24.06,,,
            WARGADUD,31928,27136,59064,7460,1127.77,52.37,,,
                QURAMATHOW,6007,5286,11293,1538,161.19,70.06,,,
                    QURAMATHOW,4950,4325,9275,1242,66.28,139.95,,,
                    SUKELA TIFNA,1057,961,2018,296,94.91,21.26,,,
                WARGADUD,16460,13939,30399,3775,725.18,41.92,,,
                    ELELE,3710,3259,6969,884,243.97,28.56,,,
                    WARGADUD,12750,10680,23430,2891,481.21,48.69,,,
                WARGADUD E.,9461,7911,17372,2147,241.4,71.96,,,
                    WARGADUD E.,9461,7911,17372,2147,241.4,71.96,,,
        MANDERA EAST*,159557,129130,288687,38472,6174.14,46.76,,,
            LAFFEY,35931,26866,62797,7066,856.24,73.34,,,
                ALANGO,8909,5229,14138,1480,263.66,53.62,,,
                    ALANGO GOF,8909,5229,14138,1480,263.66,53.62,,,
                LAFFEEY,12383,9606,21989,2534,320.73,68.56,,,
                    LAFFEY,12383,9606,21989,2534,320.73,68.56,,,
                KAMORA LIBAN,1498,1340,2838,392,104.94,27.04,,,
                    KAMORA LIBAN,1498,1340,2838,392,104.94,27.04,,,
                KABO,6074,4522,10596,1289,36.03,294.12,,,
                    KABO,6074,4522,10596,1289,36.03,294.12,,,
                DAMASA,7067,6169,13236,1371,130.89,101.12,,,
                    DAMASA,7067,6169,13236,1371,130.89,101.12,,,
            WARANKARA,14033,10586,24619,3324,957.03,25.72,,,
                BAMBO,2719,2102,4821,646,289.33,16.66,,,
                    BAMBO,933,753,1686,212,136.46,12.36,,,
                    BARMILLA,1786,1349,3135,434,152.88,20.51,,,
                WARANKARA,6478,4748,11226,1398,551.45,20.36,,,
                    WARANKARA,4744,3750,8494,1078,438.38,19.38,,,
                    SAFO,1734,998,2732,320,113.07,24.16,,,
                GARI,4836,3736,8572,1280,116.25,73.74,,,
                    GARI,4836,3736,8572,1280,116.25,73.74,,,
            FINO,21628,16991,38619,5080,1885.16,20.49,,,
                FINO,9368,7264,16632,2159,947.06,17.56,,,
                    FINO,5098,4039,9137,1215,814.42,11.22,,,
                    HARERI-TUR,4270,3225,7495,944,132.64,56.5,,,
                ARABIA,9765,7806,17571,2328,766.03,22.94,,,
                    ARABIA,9765,7806,17571,2328,766.03,22.94,,,
                OMAR JILLOW,2495,1921,4416,593,172.07,25.66,,,
                    OMAR JILLOW,2495,1921,4416,593,172.07,25.66,,,
            HARERI,13036,9558,22594,2799,1197.73,18.86,,,
                SALA,3311,2497,5808,853,618.13,9.4,,,
                    JABI EAST,1869,1386,3255,456,584.4,5.57,,,
                    SALA,1442,1111,2553,397,33.72,75.7,,,
                HARERI,5142,4009,9151,1138,517.34,17.69,,,
                    QUMBISO,2305,1847,4152,510,390.63,10.63,,,
                    HARERI,2837,2162,4999,628,126.72,39.45,,,
                ARESA,4583,3052,7635,808,62.26,122.64,,,
                    ARESA,4583,3052,7635,808,62.26,122.64,,,
            LIBEHIA,17797,13989,31786,4769,678.76,46.83,,,
                ODA,1328,859,2187,333,155.92,14.03,,,
                    ODA,844,515,1359,196,65.29,20.82,,,
                    BAMBO,484,344,828,137,90.63,9.14,,,
                LIBEHIA,12425,10358,22783,3446,378.86,60.14,,,
                    QURADER,5669,5056,10725,1575,226.24,47.4,,,
                    LIBEHIA,6756,5302,12058,1871,152.61,79.01,,,
                SAROHINDI,2482,1449,3931,525,69.64,56.45,,,
                    HARAR,925,609,1534,213,22.1,69.41,,,
                    SAROHINDI,1557,840,2397,312,47.54,50.42,,,
                FAREY,1562,1323,2885,465,74.35,38.8,,,
                    FAREY,1562,1323,2885,465,74.35,38.8,,,
            KHALALIO,11110,9470,20580,2854,494.23,41.64,,,
                GEDUDIYE,964,885,1849,269,21.45,86.2,,,
                    GEDUDIYE,964,885,1849,269,21.45,86.2,,,
                KHALALIO,1170,1038,2208,303,23.58,93.64,,,
                    KHALALIO,575,538,1113,175,12.48,89.16,,,
                    LAMANDID,595,500,1095,128,11.1,98.67,,,
                GINGO,1328,1178,2506,312,97.27,25.76,,,
                    GINGO,487,490,977,128,67.07,14.57,,,
                    DARIKA,841,688,1529,184,30.2,50.62,,,
                BELLA,1043,839,1882,283,44.87,41.95,,,
                    BELLA,592,461,1053,165,25.19,41.8,,,
                    MATASAFARA,451,378,829,118,19.68,42.13,,,
                BURABOR,1821,1752,3573,477,19.53,182.93,,,
                    SHARIF,264,231,495,95,10.46,47.31,,,
                    BURABOR,1557,1521,3078,382,9.07,339.42,,,
                BULLA HAJI,752,537,1289,198,10.78,119.62,,,
                    BULLA HAJI,213,160,373,63,3.36,111.08,,,
                    FLOOW,539,377,916,135,7.42,123.48,,,
                GARBAGOLEY,1546,1195,2741,360,59.22,46.28,,,
                    GARBAGOLEY,1546,1195,2741,360,59.22,46.28,,,
                KAROW,1467,1169,2636,358,63,41.84,,,
                    KAROW,908,822,1730,233,26.76,64.66,,,
                    SEDAJIRO,559,347,906,125,36.24,25,,,
                HARERI HOSLE,1019,877,1896,294,154.53,12.27,,,
                    HARERI HOSLE,433,328,761,98,100.78,7.55,,,
                    BENDA,214,180,394,61,29.2,13.49,,,
                    KAMORO-ELE,372,369,741,135,24.55,30.18,,,
            CENTRAL,46022,41670,87692,12580,104.98,835.31,,,
                BP1,2609,2293,4902,722,10.79,454.19,,,
                    BP1,2609,2293,4902,722,10.79,454.19,,,
                BULLA JAMHURIA,8895,7927,16822,2234,2.47,6803.09,,,
                    BULLA POWER,4138,3458,7596,1005,1.82,4177.76,,,
                    BULLA JAMHURIA,3268,3057,6325,800,0.42,15138.82,,,
                    BULLA NGUVU,1489,1412,2901,429,0.24,12256.02,,,
                CENTRAL,7887,6863,14750,2307,2.56,5751.16,,,
                    CENTRAL,7887,6863,14750,2307,2.56,5751.16,,,
                TOWNSHIP,4517,4367,8884,1252,4.58,1940.92,,,
                    TOWNSHIP,4517,4367,8884,1252,4.58,1940.92,,,
                KAMOR,4161,3687,7848,931,5.72,1370.9,,,
                    KAMOR,4161,3687,7848,931,5.72,1370.9,,,
                BULLA MPYA,4800,4568,9368,1362,1.38,6769.76,,,
                    BULLA MPYA,4800,4568,9368,1362,1.38,6769.76,,,
                BARWAKO,2057,2021,4078,558,45.54,89.55,,,
                    BARWAKO,833,815,1648,233,0.32,5193.82,,,
                    BOKOLOW,1224,1206,2430,325,45.22,53.73,,,
                SHAFSHEFY,7219,6385,13604,1964,12.01,1133.02,,,
                    SHAFSHEFY,7219,6385,13604,1964,12.01,1133.02,,,
                NEBOI,3877,3559,7436,1250,19.92,373.31,,,
                    NEBOI,3877,3559,7436,1250,19.92,373.31,,,
        MANDERA WEST*,174807,144968,319775,36799,8134.68,39.31,,,
            BANISA,60285,50119,110404,12905,1491.82,74.01,,,
                BANISA,15193,12753,27946,3217,440.43,63.45,,,
                    BANISA,15193,12753,27946,3217,440.43,63.45,,,
                DERKALE,13666,10462,24128,2935,433.61,55.64,,,
                    DERKALE,13666,10462,24128,2935,433.61,55.64,,,
                EYMOLE,10341,8707,19048,2212,128.27,148.5,,,
                    EYMOLE,10341,8707,19048,2212,128.27,148.5,,,
                KILIWEHIRI,12369,10358,22727,2576,312.27,72.78,,,
                    GOLJO,4110,3840,7950,875,151.01,52.64,,,
                    KILIWEHIRI,8259,6518,14777,1701,161.26,91.63,,,
                LULIS,8716,7839,16555,1965,177.23,93.41,,,
                    LULIS,8716,7839,16555,1965,177.23,93.41,,,
            DANDU,38430,32335,70765,8167,1635.14,43.28,,,
                DANDU,18206,14469,32675,3728,514.09,63.56,,,
                    DANDU,15117,11970,27087,3081,271.28,99.85,,,
                    EL-DANABA,3089,2499,5588,647,242.81,23.01,,,
                GITHER,17659,15612,33271,3919,843.37,39.45,,,
                    BURDURAS,5408,4982,10390,1147,191.39,54.29,,,
                    GITHER,6143,5412,11555,1432,445.66,25.93,,,
                    SAKE,6108,5218,11326,1340,206.33,54.89,,,
                KUBIHALO,2565,2254,4819,520,277.68,17.35,,,
                    KUBIHALO,2565,2254,4819,520,277.68,17.35,,,
            MALKAMARI,27273,20397,47670,6142,1864.33,25.57,,,
                MALKAMARI,7540,5471,13011,1644,382.8,33.99,,,
                    MALKAMARI,7540,5471,13011,1644,382.8,33.99,,,
                MALKARUKA,4770,3668,8438,1126,428.73,19.68,,,
                    MALKARUKA,4770,3668,8438,1126,428.73,19.68,,,
                HULLOW,3491,2662,6153,869,492,12.51,,,
                    HULLOW,3491,2662,6153,869,492,12.51,,,
                GUBA,11472,8596,20068,2503,560.8,35.78,,,
                    CHOROKO,5277,3861,9138,1034,247.21,36.96,,,
                    GUBA,6195,4735,10930,1469,313.59,34.85,,,
            TAKABA,48819,42117,90936,9585,3143.38,28.93,,,
                LAGSURE,7735,7102,14837,1522,982.47,15.1,,,
                    LAGSURE,7735,7102,14837,1522,982.47,15.1,,,
                DIDKURO,9181,6775,15956,1754,619.95,25.74,,,
                    DIDKURO,9181,6775,15956,1754,619.95,25.74,,,
                DUDUBLE,6628,6488,13116,1341,426.13,30.78,,,
                    DUDUBLE,6628,6488,13116,1341,426.13,30.78,,,
                TAKABA,18267,15275,33542,3550,435.75,76.98,,,
                    KUBDISHEN,5088,4329,9417,1024,421.12,22.36,,,
                    TAKABA,13179,10946,24125,2526,14.63,1648.74,,,
                WANGAI DAHAN,7008,6477,13485,1418,679.09,19.86,,,
